,text,POS
152,по,ADP
153,данным,ADJ
154,дисциплинам,NOUN
155,.,PUNCT
156,Лучше,ADV
157,-,PUNCT
158,экономический,ADJ
159,факультет,NOUN
160,.,PUNCT
161,Всем,DET
162,привет,NOUN
163,!,PUNCT
164,Есть,AUX
165,предложение,NOUN
166,для,ADP
167,девчонок,NOUN
168,-,PUNCT
169,с,ADP
170,18,NUM
171,октября,NOUN
172,будет,AUX
173,свободна,ADJ
174,комната,NOUN
175,в,ADP
176,большой,ADJ
177,сталинской,ADJ
178,трешке,NOUN
179,в,ADP
180,шаговой,ADJ
181,доступности,NOUN
182,от,ADP
183,маяковской,NOUN
184,",",PUNCT
185,краснопресненской,NOUN
186,и,CCONJ
187,белорусской,NOUN
188,.,PUNCT
189,площадь,NOUN
190,-,PUNCT
191,20,NUM
192,квадратов,NOUN
193,.,PUNCT
194,с,ADP
195,нами,PRON
196,живет,VERB
197,кошка,NOUN
198,",",PUNCT
199,так,SCONJ
200,что,SCONJ
201,предложение,NOUN
202,актуально,ADJ
203,только,PART
204,для,ADP
205,ребят,NOUN
206,без,ADP
207,аллергии,NOUN
208,.,PUNCT
209,Все,DET
210,подробности,NOUN
211,могу,AUX
212,рассказать,VERB
213,в,ADP
214,лс,NOUN
215,.,PUNCT
216,7,NUM
217,этаж,NOUN
218,3к,X
219,",",PUNCT
220,парни,NOUN
221,",",PUNCT
222,вы,PRON
223,заколебали,VERB
224,громко,ADV
225,ржать,VERB
226,после,ADP
227,00:00,NUM
228,.,PUNCT
229,Из,ADP
230,года,NOUN
231,в,ADP
232,год,NOUN
233,.,PUNCT
234,Я,PRON
235,когда,SCONJ
236,прихожу,VERB
237,на,ADP
238,ваш,DET
239,этаж,NOUN
240,",",PUNCT
241,то,SCONJ
242,вы,PRON
243,предательски,ADV
244,замолкаете,VERB
245,",",PUNCT
246,в,ADP
247,итоге,NOUN
248,не,PART
249,могу,AUX
250,понять,VERB
251,",",PUNCT
252,какая,ADJ
253,квартира,NOUN
254,.,PUNCT
255,Сейчас,ADV
256,нахожусь,VERB
257,в,ADP
258,поиске,NOUN
259,личного,ADJ
260,помощника,NOUN
261,",",PUNCT
262,для,ADP
263,того,DET
264,",",PUNCT
265,чтобы,SCONJ
266,строить,VERB
267,личный,ADJ
268,бренд,NOUN
269,и,CCONJ
270,не,PART
271,только,PART
272,.,PUNCT
273,Где-то,ADV
274,на,ADP
275,2-4,NUM
276,в,ADP
277,день,NOUN
278,.,PUNCT
279,Мне,PRON
280,кажется,VERB
281,",",PUNCT
282,небольшая,ADJ
283,подработка,NOUN
284,будет,AUX
285,очень,ADV
286,даже,PART
287,кстати,ADV
288,",",PUNCT
289,помню,VERB
290,я,PRON
291,тоже,CCONJ
292,когда-то,ADV
293,ее,PRON
294,искала,VERB
295,.,PUNCT
296,Если,SCONJ
297,интересно,ADJ
298,",",PUNCT
299,напишите,VERB
300,в,ADP
301,личку,NOUN
302,",",PUNCT
303,я,PRON
304,скину,VERB
305,телегу,NOUN
306,.,PUNCT
307,Для,ADP
308,проведения,NOUN
309,нашего,DET
310,замечательного,ADJ
311,ивента,NOUN
312,нам,PRON
313,необходимы,ADJ
314,волонтёры,NOUN
315,",",PUNCT
316,которые,SCONJ
317,будут,AUX
318,готовы,ADJ
319,уделить,VERB
320,часть,NOUN
321,своего,DET
322,воскресенья,NOUN
323,и,CCONJ
324,постоять,VERB
325,на,ADP
326,точках,NOUN
327,или,CCONJ
328,сделать,VERB
329,другие,ADJ
330,дела,NOUN
331,на,ADP
332,благо,NOUN
333,нашего,DET
334,общего,ADJ
335,дома,NOUN
336,.,PUNCT
,,
